subid,tr.num,condition,target_image,dot,gender,age,notes,order,experiment,keep_runsheet,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy,shift_accuracy_clean,shift_start_location,keep_et,resp_onset_type_fact
10_20_02,51,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.33299999999999996,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,51,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.5100000000000002,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,51,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.20300000000000007,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,52,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.667,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,52,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.42700000000000005,D_T,incorrect,correct,not_center,include,noun
10_20_02,52,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.33699999999999997,D_C,incorrect,incorrect,not_center,include,sentence
10_20_02,53,bullseye,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.19999999999999996,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,53,bullseye,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,NA,no_shift,NA,incorrect,not_center,include,noun
10_20_02,53,bullseye,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.53,C_T,correct,correct,center,include,sentence
10_20_02,54,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.3999999999999999,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,54,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.4770000000000003,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,54,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.27,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,55,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.2669999999999999,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,55,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.5230000000000006,D_T,incorrect,correct,not_center,include,noun
10_20_02,55,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.6669999999999998,C_D,incorrect,incorrect,center,include,sentence
10_20_02,56,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.30000000000000004,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,56,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.2230000000000003,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,56,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.2669999999999999,D_C,incorrect,incorrect,not_center,include,sentence
10_20_02,57,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.6000000000000001,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,57,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.27700000000000014,D_T,incorrect,correct,not_center,include,noun
10_20_02,57,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.4700000000000002,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,58,bullseye,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,1.6669999999999998,D_T,incorrect,correct,not_center,include,center.fixation
10_20_02,58,bullseye,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.9529999999999998,T_C,incorrect,incorrect,not_center,include,noun
10_20_02,58,bullseye,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,1.3969999999999998,D_T,incorrect,correct,not_center,include,sentence
10_20_02,59,bullseye,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.933,D_T,incorrect,correct,not_center,include,center.fixation
10_20_02,59,bullseye,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.2629999999999999,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,59,bullseye,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.403,D_T,incorrect,correct,not_center,include,sentence
10_20_02,60,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.16700000000000004,T_D,incorrect,incorrect,not_center,include,center.fixation
10_20_02,60,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.06300000000000017,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,60,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.663,D_T,incorrect,correct,not_center,include,sentence
10_20_02,61,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.7,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,61,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,1.1900000000000004,T_C,incorrect,incorrect,not_center,include,noun
10_20_02,61,bullseye,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.19999999999999996,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,62,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.9670000000000001,T_D,incorrect,incorrect,not_center,include,center.fixation
10_20_02,62,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,NA,no_shift,NA,incorrect,not_center,include,noun
10_20_02,62,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.637,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,63,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,1.767,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,63,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.4770000000000003,D_T,incorrect,correct,not_center,include,noun
10_20_02,63,bullseye,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,1.637,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,64,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.30000000000000004,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,64,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.19300000000000006,D_T,incorrect,correct,not_center,include,noun
10_20_02,64,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.47,C_T,correct,correct,center,include,sentence
10_20_02,65,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.833,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,65,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.5299999999999998,T_C,incorrect,incorrect,not_center,include,noun
10_20_02,65,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.663,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,66,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.30000000000000004,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,66,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.1299999999999999,D_T,incorrect,correct,not_center,include,noun
10_20_02,66,bullseye,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.13000000000000012,D_C,incorrect,incorrect,not_center,include,sentence
10_20_02,67,bullseye,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.367,T_C,incorrect,incorrect,not_center,include,center.fixation
