condition,stimulus,left_image,right_image,target_image,center,audio,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec_1,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_sec_1,sentence_onset_sec_frames,sentence_onset_frames,sentence_onset_sec
Text-no-audio,d443f166201d1470d6aaacc5f53c6b30_1024x768,cookie,ball,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,f704909fdccc7d583d89e16ff52ddcdd_1024x768,cookie,ball,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text-no-audio,27893980373d4c97e0aa58a878387fe8_1024x768,ball,cookie,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,9ce7958e887a780e6055f68770c87770_1024x768,ball,cookie,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text-no-audio,04b769939c1953cef8bdcbd2ee4f690b_1024x768,shoe,book,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,b890f91552d39f27d8e6a17ebc0f9903_1024x768,cookie,ball,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text-no-audio,4b6f484edf5ed91f6a29e70ae4bbc174_1024x768,juice,banana,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,31bfa8f004165f85eae54dc4b4b95906_1024x768,book,shoe,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,b4529fb9b2af74150993f34b82984dfd_1024x768,book,shoe,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,18478a7940d503ba3edb31aa9645b58a_1024x768,book,shoe,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,74be81facfe0c188c63693ad0ba3c3c8_1024x768,juice,banana,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,09c44adadecbf41cb7e0d96ed3bc5e73_1024x768,juice,banana,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,6e5f92e2c77a1d63b4cea0aeb5260d66_1024x768,shoe,book,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,a079416d258790a4b889329b9e2d6182_1024x768,juice,banana,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,4fcbd6a19fb7af86663fceb7834e2609_1024x768,cookie,ball,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text-no-audio,364aa611852510ae3c62baa8a38bd9d8_1024x768,banana,juice,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,3d6f09bc78d8a87b62619cef5f93c61a_1024x768,banana,juice,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,ec5d8506cef1803d58f998934bf3810f_1024x768,shoe,book,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,26427f410da0632c5c3ce8b1815ce42f_1024x768,banana,juice,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,5d787d0516512ef7bcdc84248f62065b_1024x768,cookie,ball,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
