subid,tr.num,condition_long,correct,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
6,8,gaze_clear,1,0.7759999999999998,gaze_clear,0.78,response,1,0.22999999999999998,cs,0.83
6,11,gaze_clear,1,0.806,gaze_clear,0.81,response,1,0.22999999999999998,cs,0.83
9,61,gaze_clear,1,0.806,gaze_clear,0.81,response,1,0.22999999999999998,cs,0.83
13,23,gaze_clear,1,0.8070000000000004,gaze_clear,0.81,response,1,0.24,cs,0.84
7,15,gaze_clear,1,0.8090000000000002,gaze_clear,0.81,response,1,0.24,cs,0.84
13,22,gaze_clear,1,0.8100000000000005,gaze_clear,0.81,response,1,0.24,cs,0.84
7,7,gaze_clear,1,0.8339999999999996,gaze_clear,0.83,response,1,0.24,cs,0.84
13,25,gaze_clear,1,0.8359999999999994,gaze_clear,0.84,response,1,0.24,cs,0.84
12,33,gaze_clear,1,0.9000000000000004,gaze_clear,0.9,response,1,0.24,cs,0.84
6,4,gaze_clear,1,0.9090000000000007,gaze_clear,0.91,response,1,0.25,cs,0.85
5,6,gaze_clear,0,0.9390000000000001,gaze_clear,0.94,response,1,0.24,cs,0.84
5,9,gaze_clear,1,0.9400000000000004,gaze_clear,0.94,response,1,0.24,cs,0.84
5,8,gaze_clear,1,0.9420000000000002,gaze_clear,0.94,response,1,0.24,cs,0.84
5,13,gaze_clear,1,0.9430000000000005,gaze_clear,0.94,response,1,0.24,cs,0.84
5,10,gaze_clear,1,0.9699999999999998,gaze_clear,0.97,response,1,0.24,cs,0.84
6,12,gaze_clear,1,0.9749999999999996,gaze_clear,0.97,response,1,0.25,cs,0.85
11,20,gaze_clear,1,1.0009999999999994,gaze_clear,1,response,1,0.25,cs,0.85
5,7,gaze_clear,1,1.0359999999999996,gaze_clear,1.04,response,1,0.25,cs,0.85
13,28,gaze_clear,1,1.04,gaze_clear,1.04,response,1,0.25,cs,0.85
8,16,gaze_clear,1,1.0739999999999998,gaze_clear,1.07,response,1,0.25,cs,0.85
12,46,gaze_clear,0,1.0740000000000007,gaze_clear,1.07,response,1,0.24,cs,0.84
13,26,gaze_clear,1,1.1039999999999992,gaze_clear,1.1,response,1,0.24,cs,0.84
9,64,gaze_clear,1,1.1339999999999995,gaze_clear,1.13,response,1,0.25,cs,0.85
4,1,gaze_clear,1,1.1400000000000006,gaze_clear,1.14,response,1,0.25,cs,0.85
4,15,gaze_clear,1,1.37,gaze_clear,1.37,response,1,0.25,cs,0.85
6,1,gaze_clear,1,1.4400000000000004,gaze_clear,1.44,response,1,0.25,cs,0.85
13,19,gaze_clear,1,1.971,gaze_clear,1.97,response,1,0.25,cs,0.85
12,15,gaze_noise,1,0.10599999999999987,gaze_noise,0.11,guess,0,0.020000000000000018,cs,0.5
10,27,gaze_noise,1,0.17499999999999982,gaze_noise,0.17,guess,0,0.010000000000000009,cs,0.51
9,23,gaze_noise,1,0.20399999999999974,gaze_noise,0.2,guess,0,0.020000000000000018,cs,0.51
9,28,gaze_noise,0,0.2369999999999992,gaze_noise,0.24,guess,0,0.020000000000000018,cs,0.51
13,50,gaze_noise,1,0.23800000000000043,gaze_noise,0.24,guess,0,0.020000000000000018,cs,0.51
2,8,gaze_noise,1,0.2699999999999996,gaze_noise,0.27,guess,0,0.020000000000000018,cs,0.52
9,18,gaze_noise,1,0.3019999999999996,gaze_noise,0.3,guess,0,0.020000000000000018,cs,0.52
8,33,gaze_noise,1,0.30400000000000027,gaze_noise,0.3,guess,0,0.010000000000000009,cs,0.53
8,35,gaze_noise,1,0.3070000000000004,gaze_noise,0.31,guess,0,0.010000000000000009,cs,0.53
13,53,gaze_noise,1,0.3100000000000005,gaze_noise,0.31,guess,0,0.010000000000000009,cs,0.54
13,51,gaze_noise,1,0.33499999999999996,gaze_noise,0.34,guess,0,0.010000000000000009,cs,0.54
8,45,gaze_noise,1,0.33499999999999996,gaze_noise,0.34,guess,0,0,cs,0.55
12,12,gaze_noise,1,0.33699999999999974,gaze_noise,0.34,guess,0,0,cs,0.55
12,9,gaze_noise,1,0.3390000000000004,gaze_noise,0.34,response,1,0.010000000000000009,cs,0.56
2,9,gaze_noise,1,0.3390000000000004,gaze_noise,0.34,response,1,0.010000000000000009,cs,0.56
13,54,gaze_noise,1,0.33999999999999986,gaze_noise,0.34,response,1,0.009999999999999898,cs,0.57
2,11,gaze_noise,1,0.34199999999999964,gaze_noise,0.34,response,1,0.009999999999999898,cs,0.57
10,23,gaze_noise,1,0.3680000000000003,gaze_noise,0.37,response,1,0.009999999999999898,cs,0.57
2,7,gaze_noise,1,0.3689999999999998,gaze_noise,0.37,response,1,0.019999999999999907,cs,0.58
5,34,gaze_noise,1,0.375,gaze_noise,0.38,response,1,0.019999999999999907,cs,0.58
13,60,gaze_noise,1,0.4039999999999999,gaze_noise,0.4,response,1,0.029999999999999916,cs,0.59
9,31,gaze_noise,1,0.40500000000000025,gaze_noise,0.41,response,1,0.029999999999999916,cs,0.59
11,64,gaze_noise,1,0.4060000000000006,gaze_noise,0.41,response,1,0.029999999999999916,cs,0.59
12,16,gaze_noise,1,0.4079999999999995,gaze_noise,0.41,response,1,0.030000000000000027,cs,0.6
9,30,gaze_noise,1,0.4079999999999995,gaze_noise,0.41,response,1,0.030000000000000027,cs,0.6
7,40,gaze_noise,1,0.4089999999999998,gaze_noise,0.41,response,1,0.040000000000000036,cs,0.61
8,41,gaze_noise,1,0.4089999999999998,gaze_noise,0.41,response,1,0.040000000000000036,cs,0.61
8,46,gaze_noise,1,0.4089999999999998,gaze_noise,0.41,response,1,0.040000000000000036,cs,0.61
5,47,gaze_noise,1,0.4370000000000003,gaze_noise,0.44,response,1,0.050000000000000044,cs,0.62
8,39,gaze_noise,1,0.4370000000000003,gaze_noise,0.44,response,1,0.050000000000000044,cs,0.62
4,39,gaze_noise,1,0.4400000000000004,gaze_noise,0.44,response,1,0.06000000000000005,cs,0.63
6,44,gaze_noise,1,0.44099999999999984,gaze_noise,0.44,response,1,0.06000000000000005,cs,0.63
10,26,gaze_noise,1,0.44200000000000017,gaze_noise,0.44,response,1,0.06000000000000005,cs,0.63
9,26,gaze_noise,0,0.44200000000000017,gaze_noise,0.44,response,1,0.06000000000000005,cs,0.63
11,56,gaze_noise,1,0.46799999999999997,gaze_noise,0.47,response,1,0.050000000000000044,cs,0.63
5,33,gaze_noise,1,0.46799999999999997,gaze_noise,0.47,response,1,0.050000000000000044,cs,0.63
6,45,gaze_noise,1,0.46799999999999997,gaze_noise,0.47,response,1,0.06000000000000005,cs,0.64
6,37,gaze_noise,1,0.4689999999999994,gaze_noise,0.47,response,1,0.06000000000000005,cs,0.64
6,46,gaze_noise,1,0.46999999999999975,gaze_noise,0.47,response,1,0.07000000000000006,cs,0.65
8,40,gaze_noise,1,0.46999999999999975,gaze_noise,0.47,response,1,0.07000000000000006,cs,0.65
10,22,gaze_noise,1,0.47000000000000064,gaze_noise,0.47,response,1,0.07000000000000006,cs,0.65
2,5,gaze_noise,1,0.4710000000000001,gaze_noise,0.47,response,1,0.08000000000000007,cs,0.66
2,15,gaze_noise,1,0.4720000000000004,gaze_noise,0.47,response,1,0.08000000000000007,cs,0.66
8,47,gaze_noise,1,0.47299999999999986,gaze_noise,0.47,response,1,0.08000000000000007,cs,0.66
9,32,gaze_noise,1,0.47499999999999964,gaze_noise,0.47,response,1,0.09000000000000008,cs,0.67
12,2,gaze_noise,1,0.47500000000000053,gaze_noise,0.48,response,1,0.09000000000000008,cs,0.67
2,13,gaze_noise,1,0.47500000000000053,gaze_noise,0.48,response,1,0.09000000000000008,cs,0.67
13,49,gaze_noise,1,0.476,gaze_noise,0.48,response,1,0.10000000000000009,cs,0.68
5,36,gaze_noise,1,0.476,gaze_noise,0.48,response,1,0.10000000000000009,cs,0.68
11,50,gaze_noise,1,0.5019999999999998,gaze_noise,0.5,response,1,0.10000000000000009,cs,0.68
4,33,gaze_noise,1,0.5019999999999998,gaze_noise,0.5,response,1,0.09999999999999998,cs,0.69
7,46,gaze_noise,1,0.5019999999999998,gaze_noise,0.5,response,1,0.09999999999999998,cs,0.69
8,43,gaze_noise,1,0.5019999999999998,gaze_noise,0.5,response,1,0.09999999999999998,cs,0.69
9,24,gaze_noise,1,0.5019999999999998,gaze_noise,0.5,response,1,0.10999999999999999,cs,0.7
13,62,gaze_noise,1,0.5030000000000001,gaze_noise,0.5,response,1,0.10999999999999999,cs,0.7
8,48,gaze_noise,1,0.5039999999999996,gaze_noise,0.5,response,1,0.10999999999999999,cs,0.7
11,53,gaze_noise,1,0.5060000000000002,gaze_noise,0.51,response,1,0.10999999999999999,cs,0.7
6,43,gaze_noise,1,0.5089999999999995,gaze_noise,0.51,response,1,0.12,cs,0.71
8,38,gaze_noise,1,0.5090000000000003,gaze_noise,0.51,response,1,0.12,cs,0.71
7,38,gaze_noise,1,0.5349999999999993,gaze_noise,0.53,response,1,0.12,cs,0.71
2,3,gaze_noise,1,0.5350000000000001,gaze_noise,0.54,response,1,0.13,cs,0.72
7,41,gaze_noise,1,0.5369999999999999,gaze_noise,0.54,response,1,0.13,cs,0.72
11,63,gaze_noise,1,0.5379999999999994,gaze_noise,0.54,response,1,0.13,cs,0.72
5,35,gaze_noise,1,0.5379999999999994,gaze_noise,0.54,response,1,0.13,cs,0.72
9,22,gaze_noise,1,0.5380000000000003,gaze_noise,0.54,response,1,0.14,cs,0.73
2,10,gaze_noise,1,0.54,gaze_noise,0.54,response,1,0.14,cs,0.73
4,36,gaze_noise,1,0.5410000000000004,gaze_noise,0.54,response,1,0.14,cs,0.73
5,46,gaze_noise,1,0.5410000000000004,gaze_noise,0.54,response,1,0.15000000000000002,cs,0.74
5,48,gaze_noise,1,0.5419999999999998,gaze_noise,0.54,response,1,0.15000000000000002,cs,0.74
8,37,gaze_noise,1,0.5419999999999998,gaze_noise,0.54,response,1,0.15000000000000002,cs,0.74
11,49,gaze_noise,1,0.5430000000000001,gaze_noise,0.54,response,1,0.15000000000000002,cs,0.74
12,14,gaze_noise,1,0.569,gaze_noise,0.57,response,1,0.16000000000000003,cs,0.75
13,61,gaze_noise,1,0.569,gaze_noise,0.57,response,1,0.16000000000000003,cs,0.75
5,38,gaze_noise,0,0.569,gaze_noise,0.57,response,1,0.15000000000000002,cs,0.74
9,21,gaze_noise,1,0.569,gaze_noise,0.57,response,1,0.15000000000000002,cs,0.74
7,45,gaze_noise,1,0.5709999999999997,gaze_noise,0.57,response,1,0.16000000000000003,cs,0.75
7,42,gaze_noise,1,0.5739999999999998,gaze_noise,0.57,response,1,0.16000000000000003,cs,0.75
8,34,gaze_noise,1,0.5739999999999998,gaze_noise,0.57,response,1,0.16000000000000003,cs,0.75
12,8,gaze_noise,1,0.6020000000000003,gaze_noise,0.6,response,1,0.16000000000000003,cs,0.75
12,13,gaze_noise,1,0.6029999999999998,gaze_noise,0.6,response,1,0.16000000000000003,cs,0.76
2,6,gaze_noise,1,0.6039999999999992,gaze_noise,0.6,response,1,0.16000000000000003,cs,0.76
6,39,gaze_noise,1,0.6039999999999992,gaze_noise,0.6,response,1,0.16000000000000003,cs,0.76
10,25,gaze_noise,1,0.6049999999999995,gaze_noise,0.6,response,1,0.16000000000000003,cs,0.76
11,51,gaze_noise,1,0.6050000000000004,gaze_noise,0.61,response,1,0.17000000000000004,cs,0.77
11,58,gaze_noise,1,0.6059999999999999,gaze_noise,0.61,response,1,0.17000000000000004,cs,0.77
2,4,gaze_noise,1,0.6079999999999997,gaze_noise,0.61,response,1,0.17000000000000004,cs,0.77
7,44,gaze_noise,1,0.6079999999999997,gaze_noise,0.61,response,1,0.17000000000000004,cs,0.77
10,20,gaze_noise,1,0.609,gaze_noise,0.61,response,1,0.17000000000000004,cs,0.77
11,55,gaze_noise,1,0.609,gaze_noise,0.61,response,1,0.18000000000000005,cs,0.78
4,42,gaze_noise,1,0.609,gaze_noise,0.61,response,1,0.18000000000000005,cs,0.78
5,42,gaze_noise,1,0.609,gaze_noise,0.61,response,1,0.18000000000000005,cs,0.78
8,36,gaze_noise,1,0.609,gaze_noise,0.61,response,1,0.18000000000000005,cs,0.78
