subid,tr.num,condition,correct,RT,rt,guess,guess_num,ucl_bound,ewma_param,param_value
11_10_01,39,bullseye,1,0.5299999999999998,0.53,response,1,0.050000000000000044,cs,0.66
11_10_01,46,bullseye,1,0.5299999999999998,0.53,response,1,0.050000000000000044,cs,0.66
11_16_01,53,bullseye,1,0.5299999999999998,0.53,response,1,0.06000000000000005,cs,0.67
11_16_04,57,bullseye,1,0.5299999999999998,0.53,response,1,0.06000000000000005,cs,0.67
11_02_08,47,bullseye,1,0.5430000000000001,0.54,response,1,0.06000000000000005,cs,0.67
11_02_02,39,bullseye,1,0.5529999999999999,0.55,response,1,0.07000000000000006,cs,0.68
11_02_02,42,bullseye,1,0.5529999999999999,0.55,response,1,0.07000000000000006,cs,0.68
11_02_05,57,bullseye,1,0.5529999999999999,0.55,response,1,0.07000000000000006,cs,0.68
11_02_08,38,bullseye,1,0.5529999999999999,0.55,response,1,0.07999999999999996,cs,0.69
11_02_02,32,bullseye,0,0.5570000000000004,0.56,response,1,0.07000000000000006,cs,0.68
11_02_03,38,bullseye,1,0.5570000000000004,0.56,response,1,0.07000000000000006,cs,0.68
11_02_04,56,bullseye,1,0.5570000000000004,0.56,response,1,0.07999999999999996,cs,0.69
11_02_05,72,bullseye,0,0.5570000000000004,0.56,response,1,0.07000000000000006,cs,0.68
11_10_01,42,bullseye,1,0.5570000000000004,0.56,response,1,0.07000000000000006,cs,0.68
11_16_03,57,bullseye,1,0.5570000000000004,0.56,response,1,0.07999999999999996,cs,0.69
11_16_03,64,bullseye,1,0.5570000000000004,0.56,response,1,0.07999999999999996,cs,0.69
10_20_04,63,bullseye,0,0.5599999999999996,0.56,response,1,0.07000000000000006,cs,0.68
10_20_04,69,bullseye,1,0.5599999999999996,0.56,response,1,0.07000000000000006,cs,0.68
10_20_05,54,bullseye,1,0.5599999999999996,0.56,response,1,0.07999999999999996,cs,0.69
11_02_07,28,bullseye,1,0.5599999999999996,0.56,response,1,0.07999999999999996,cs,0.69
11_02_08,42,bullseye,1,0.5599999999999996,0.56,response,1,0.07999999999999996,cs,0.69
11_10_03,35,bullseye,1,0.5599999999999996,0.56,response,1,0.08999999999999997,cs,0.7
11_16_05,27,bullseye,1,0.5599999999999996,0.56,response,1,0.08999999999999997,cs,0.7
11_16_05,29,bullseye,1,0.5599999999999996,0.56,response,1,0.08999999999999997,cs,0.7
10_20_03,59,bullseye,1,0.5630000000000002,0.56,response,1,0.09999999999999998,cs,0.71
10_20_06,50,bullseye,1,0.5630000000000002,0.56,response,1,0.09999999999999998,cs,0.71
10_20_06,62,bullseye,0,0.5630000000000002,0.56,response,1,0.08999999999999997,cs,0.7
11_02_06,48,bullseye,1,0.5630000000000002,0.56,response,1,0.08999999999999997,cs,0.7
11_10_02,71,bullseye,1,0.5630000000000002,0.56,response,1,0.09999999999999998,cs,0.71
11_16_04,49,bullseye,0,0.5630000000000002,0.56,response,1,0.08999999999999997,cs,0.7
11_16_05,44,bullseye,1,0.5630000000000002,0.56,response,1,0.08999999999999997,cs,0.7
11_02_04,49,bullseye,0,0.577,0.58,response,1,0.08999999999999997,cs,0.7
11_02_05,62,bullseye,0,0.577,0.58,response,1,0.07999999999999996,cs,0.69
11_16_04,65,bullseye,1,0.577,0.58,response,1,0.07999999999999996,cs,0.69
10_20_05,62,bullseye,0,0.5869999999999997,0.59,response,1,0.07999999999999996,cs,0.69
10_20_04,61,bullseye,0,0.5899999999999999,0.59,response,1,0.07000000000000006,cs,0.68
11_02_01,44,bullseye,1,0.5899999999999999,0.59,response,1,0.07000000000000006,cs,0.68
11_16_01,55,bullseye,1,0.5899999999999999,0.59,response,1,0.07999999999999996,cs,0.69
11_16_05,34,bullseye,1,0.5899999999999999,0.59,response,1,0.07999999999999996,cs,0.69
11_02_03,37,bullseye,0,0.593,0.59,response,1,0.07000000000000006,cs,0.68
11_02_04,64,bullseye,1,0.593,0.59,response,1,0.07000000000000006,cs,0.68
11_10_01,40,bullseye,1,0.593,0.59,response,1,0.07999999999999996,cs,0.69
11_10_01,45,bullseye,1,0.593,0.59,response,1,0.07999999999999996,cs,0.69
10_20_06,51,bullseye,1,0.597,0.6,response,1,0.07999999999999996,cs,0.69
11_02_03,48,bullseye,1,0.597,0.6,response,1,0.08999999999999997,cs,0.7
11_02_04,66,bullseye,0,0.597,0.6,response,1,0.07999999999999996,cs,0.69
11_02_07,27,bullseye,1,0.597,0.6,response,1,0.07999999999999996,cs,0.69
11_02_08,32,bullseye,1,0.597,0.6,response,1,0.08999999999999997,cs,0.7
11_10_05,47,bullseye,1,0.597,0.6,response,1,0.08999999999999997,cs,0.7
11_16_01,44,bullseye,1,0.597,0.6,response,1,0.08999999999999997,cs,0.7
11_16_01,65,bullseye,1,0.597,0.6,response,1,0.09999999999999998,cs,0.71
11_16_03,51,bullseye,0,0.597,0.6,response,1,0.08999999999999997,cs,0.7
11_16_05,46,bullseye,1,0.597,0.6,response,1,0.08999999999999997,cs,0.7
11_02_01,46,bullseye,1,0.6100000000000003,0.61,response,1,0.08999999999999997,cs,0.7
11_16_03,60,bullseye,0,0.6100000000000003,0.61,response,1,0.08999999999999997,cs,0.7
11_16_01,45,bullseye,1,0.6199999999999997,0.62,response,1,0.08999999999999997,cs,0.7
10_20_05,56,bullseye,1,0.6230000000000002,0.62,response,1,0.08999999999999997,cs,0.7
10_20_06,54,bullseye,1,0.6230000000000002,0.62,response,1,0.09999999999999998,cs,0.71
