subid,tr.num,noise_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
30,29,clear,1,1767,4,cookie,0.3019999999999996,clear,0.3,guess,0,0.13999999999999996,cs,0.43
8,24,clear,0,1367,3,shoe,0.3019999999999996,clear,0.3,guess,0,0.13999999999999996,cs,0.43
11,6,clear,1,1695,4,boat,0.30299999999999994,clear,0.3,guess,0,0.13999999999999996,cs,0.43
45,12,clear,1,1957,5,bunny,0.30299999999999994,clear,0.3,guess,0,0.12999999999999995,cs,0.44
9,3,clear,1,1744,4,chicken,0.3039999999999994,clear,0.3,guess,0,0.11999999999999994,cs,0.45
2,21,clear,0,1810,4,ball,0.30400000000000027,clear,0.3,guess,0,0.12999999999999995,cs,0.44
49,32,clear,1,1626,4,bunny,0.30400000000000027,clear,0.3,guess,0,0.11999999999999994,cs,0.45
18,3,clear,0,1603,4,cookie,0.3049999999999997,clear,0.3,guess,0,0.12999999999999995,cs,0.44
22,6,clear,1,1866,5,bottle,0.3049999999999997,clear,0.3,guess,0,0.11999999999999994,cs,0.45
33,8,clear,0,1870,5,chicken,0.3049999999999997,clear,0.3,guess,0,0.12999999999999995,cs,0.44
22,12,clear,0,1866,5,boat,0.3050000000000006,clear,0.31,guess,0,0.12999999999999995,cs,0.44
28,2,clear,0,1418,3,chicken,0.3050000000000006,clear,0.31,guess,0,0.13999999999999996,cs,0.43
45,2,clear,0,1957,5,boat,0.3050000000000006,clear,0.31,guess,0,0.13999999999999996,cs,0.43
31,19,clear,1,1289,3,boat,0.3069999999999995,clear,0.31,guess,0,0.12999999999999995,cs,0.44
8,19,clear,1,1367,3,ball,0.30799999999999983,clear,0.31,guess,0,0.12999999999999995,cs,0.44
13,13,clear,1,1282,3,ball,0.33399999999999963,clear,0.33,guess,0,0.11999999999999994,cs,0.45
35,18,clear,1,1833,5,bottle,0.33399999999999963,clear,0.33,guess,0,0.11999999999999994,cs,0.45
36,12,clear,0,1160,3,shoe,0.33399999999999963,clear,0.33,guess,0,0.11999999999999994,cs,0.45
37,5,clear,1,1882,5,bottle,0.33399999999999963,clear,0.33,guess,0,0.11999999999999994,cs,0.45
15,17,clear,1,1325,3,shoe,0.3340000000000005,clear,0.33,guess,0,0.10999999999999993,cs,0.46
9,5,clear,1,1744,4,shoe,0.3340000000000005,clear,0.33,guess,0,0.10999999999999993,cs,0.46
31,27,clear,1,1289,3,shoe,0.33499999999999996,clear,0.34,guess,0,0.09999999999999998,cs,0.47
19,2,clear,0,1129,3,juice,0.3360000000000003,clear,0.34,guess,0,0.09999999999999998,cs,0.47
20,6,clear,1,2088,5,bunny,0.33699999999999974,clear,0.34,guess,0,0.09999999999999998,cs,0.47
41,26,clear,1,1842,5,bunny,0.33699999999999974,clear,0.34,guess,0,0.08999999999999997,cs,0.48
48,17,clear,1,1946,5,bunny,0.33699999999999974,clear,0.34,guess,0,0.08999999999999997,cs,0.48
20,4,clear,1,2088,5,chicken,0.3380000000000001,clear,0.34,guess,0,0.07999999999999996,cs,0.49
22,9,clear,1,1866,5,chicken,0.3380000000000001,clear,0.34,guess,0,0.07999999999999996,cs,0.49
7,22,clear,0,1742,4,chicken,0.3380000000000001,clear,0.34,guess,0,0.07999999999999996,cs,0.49
26,5,clear,0,1171,3,boat,0.3390000000000004,clear,0.34,guess,0,0.08999999999999997,cs,0.48
34,23,clear,1,1289,3,boat,0.33999999999999986,clear,0.34,guess,0,0.07999999999999996,cs,0.49
49,26,clear,1,1626,4,boat,0.33999999999999986,clear,0.34,guess,0,0.07999999999999996,cs,0.49
20,7,clear,1,2088,5,boat,0.3410000000000002,clear,0.34,guess,0,0.06999999999999995,cs,0.5
34,32,clear,1,1289,3,ball,0.34199999999999964,clear,0.34,guess,0,0.06999999999999995,cs,0.5
6,5,clear,1,1669,4,ball,0.34199999999999964,clear,0.34,guess,0,0.05999999999999994,cs,0.51
19,12,clear,1,1129,3,juice,0.3420000000000005,clear,0.34,guess,0,0.05999999999999994,cs,0.51
48,21,clear,0,1946,5,juice,0.3420000000000005,clear,0.34,guess,0,0.05999999999999994,cs,0.51
50,32,clear,1,1693,4,juice,0.3420000000000005,clear,0.34,guess,0,0.05999999999999994,cs,0.51
18,9,clear,1,1603,4,shoe,0.367,clear,0.37,guess,0,0.04999999999999993,cs,0.52
31,24,clear,1,1289,3,bottle,0.367,clear,0.37,guess,0,0.04999999999999993,cs,0.52
37,9,clear,1,1882,5,chicken,0.36799999999999944,clear,0.37,guess,0,0.039999999999999925,cs,0.53
41,27,clear,1,1842,5,chicken,0.36799999999999944,clear,0.37,guess,0,0.039999999999999925,cs,0.53
31,18,clear,1,1289,3,shoe,0.3680000000000003,clear,0.37,guess,0,0.029999999999999916,cs,0.54
33,11,clear,0,1870,5,shoe,0.3680000000000003,clear,0.37,guess,0,0.039999999999999925,cs,0.53
37,4,clear,1,1882,5,shoe,0.3680000000000003,clear,0.37,guess,0,0.029999999999999916,cs,0.54
27,19,clear,0,1356,3,ball,0.37100000000000044,clear,0.37,guess,0,0.039999999999999925,cs,0.53
37,6,clear,1,1882,5,bunny,0.37100000000000044,clear,0.37,guess,0,0.039999999999999925,cs,0.53
9,2,clear,0,1744,4,ball,0.37100000000000044,clear,0.37,guess,0,0.039999999999999925,cs,0.53
2,27,clear,0,1810,4,boat,0.3720000000000008,clear,0.37,guess,0,0.04999999999999993,cs,0.52
24,4,clear,1,1288,3,chicken,0.3720000000000008,clear,0.37,guess,0,0.039999999999999925,cs,0.53
24,9,clear,0,1288,3,boat,0.3720000000000008,clear,0.37,guess,0,0.04999999999999993,cs,0.52
46,2,clear,1,1836,5,ball,0.375,clear,0.38,guess,0,0.039999999999999925,cs,0.53
48,20,clear,0,1946,5,cookie,0.375,clear,0.38,guess,0,0.04999999999999993,cs,0.52
49,30,clear,0,1626,4,ball,0.375,clear,0.38,guess,0,0.04999999999999993,cs,0.52
8,23,clear,0,1367,3,ball,0.375,clear,0.38,guess,0,0.05999999999999994,cs,0.51
36,11,clear,1,1160,3,cookie,0.37600000000000033,clear,0.38,guess,0,0.04999999999999993,cs,0.52
20,13,clear,0,2088,5,bottle,0.39999999999999947,clear,0.4,guess,0,0.05999999999999994,cs,0.51
35,17,clear,0,1833,5,bottle,0.39999999999999947,clear,0.4,guess,0,0.05999999999999994,cs,0.51
41,19,clear,1,1842,5,bottle,0.39999999999999947,clear,0.4,guess,0,0.05999999999999994,cs,0.51
21,16,clear,1,1701,4,bunny,0.40199999999999925,clear,0.4,guess,0,0.04999999999999993,cs,0.52
6,8,clear,0,1669,4,bunny,0.40199999999999925,clear,0.4,guess,0,0.05999999999999994,cs,0.51
24,14,clear,1,1288,3,bunny,0.40200000000000014,clear,0.4,guess,0,0.04999999999999993,cs,0.52
3,30,clear,0,1920,5,juice,0.40200000000000014,clear,0.4,guess,0,0.05999999999999994,cs,0.51
18,10,clear,1,1603,4,boat,0.4029999999999996,clear,0.4,guess,0,0.04999999999999993,cs,0.52
20,3,clear,1,2088,5,juice,0.4029999999999996,clear,0.4,guess,0,0.04999999999999993,cs,0.52
37,12,clear,1,1882,5,juice,0.4029999999999996,clear,0.4,guess,0,0.039999999999999925,cs,0.53
46,12,clear,1,1836,5,juice,0.4029999999999996,clear,0.4,guess,0,0.039999999999999925,cs,0.53
15,30,clear,1,1325,3,ball,0.4039999999999999,clear,0.4,guess,0,0.029999999999999916,cs,0.54
24,7,clear,1,1288,3,ball,0.4039999999999999,clear,0.4,guess,0,0.029999999999999916,cs,0.54
48,19,clear,0,1946,5,ball,0.4039999999999999,clear,0.4,guess,0,0.039999999999999925,cs,0.53
49,23,clear,1,1626,4,bunny,0.4039999999999999,clear,0.4,guess,0,0.029999999999999916,cs,0.54
19,3,clear,1,1129,3,boat,0.40500000000000025,clear,0.41,guess,0,0.029999999999999916,cs,0.54
7,30,clear,1,1742,4,bottle,0.40500000000000025,clear,0.41,guess,0,0.019999999999999907,cs,0.55
41,24,clear,0,1842,5,boat,0.40700000000000003,clear,0.41,guess,0,0.029999999999999916,cs,0.54
2,20,clear,1,1810,4,cookie,0.4090000000000007,clear,0.41,guess,0,0.019999999999999907,cs,0.55
20,1,clear,1,2088,5,cookie,0.41000000000000014,clear,0.41,guess,0,0.019999999999999907,cs,0.55
6,9,clear,0,1669,4,cookie,0.41000000000000014,clear,0.41,guess,0,0.019999999999999907,cs,0.55
33,14,clear,0,1870,5,bottle,0.4339999999999993,clear,0.43,guess,0,0.029999999999999916,cs,0.54
43,28,clear,0,1413,3,bottle,0.4339999999999993,clear,0.43,guess,0,0.029999999999999916,cs,0.54
34,26,clear,1,1289,3,chicken,0.43400000000000016,clear,0.43,guess,0,0.029999999999999916,cs,0.54
35,24,clear,1,1833,5,chicken,0.43400000000000016,clear,0.43,guess,0,0.029999999999999916,cs,0.54
