subid,tr.num,condition,dot,gender,age,notes,order,keep,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy
10_20_04,31,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.4630000000000001,C_D,incorrect
10_20_04,31,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.563,C_D,incorrect
10_20_04,32,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.9,C_D,incorrect
10_20_04,32,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6299999999999999,C_D,incorrect
10_20_04,32,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.73,C_D,incorrect
10_20_04,33,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.767,C_T,correct
10_20_04,33,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.677,C_T,correct
10_20_04,33,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.637,C_T,correct
10_20_04,34,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.2670000000000003,C_T,correct
10_20_04,34,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.7270000000000003,C_T,correct
10_20_04,34,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.9370000000000003,C_T,correct
10_20_04,35,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.867,C_T,correct
10_20_04,35,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6869999999999998,C_T,correct
10_20_04,35,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.597,C_T,correct
10_20_04,36,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.0330000000000004,C_T,correct
10_20_04,36,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.4930000000000003,C_T,correct
10_20_04,36,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.7030000000000003,C_T,correct
10_20_04,37,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.0330000000000004,C_T,correct
10_20_04,37,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.7630000000000003,C_T,correct
10_20_04,37,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.8630000000000004,C_T,correct
10_20_04,38,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.933,C_T,correct
10_20_04,38,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.42300000000000004,C_T,correct
10_20_04,38,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.433,C_T,correct
10_20_04,39,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.933,C_T,correct
10_20_04,39,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6629999999999998,C_T,correct
10_20_04,39,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.4029999999999996,C_T,correct
10_20_04,40,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.733,C_T,correct
10_20_04,40,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6430000000000002,C_T,correct
10_20_04,40,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.603,C_T,correct
10_20_04,41,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.133,C_T,correct
10_20_04,41,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.863,C_T,correct
10_20_04,41,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.6029999999999998,C_T,correct
10_20_04,42,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.767,C_T,correct
10_20_04,42,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.677,C_T,correct
10_20_04,42,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.637,C_T,correct
